None	2022-01-06-12-12	{"gen_hidden_lst": [50], "dis_hidden_lst": [50, 50, 50], "gen_lr": [0.01, 0.1, 0.01], "gen_epoch": [500, 1000, 5000, 10000], "gen_decay": 0.1, "gen_scheduler_step": 5000, "dis_lr": [0.01, 0.1, 0.01], "dis_epoch": [500, 2000, 10000, 20000], "dis_loss": [1, 1, 1, 1], "dis_decay": 0.1, "dis_scheduler_step": 10000, "total_rounds": 4, "visualize_obs": 0, "train_gen": true, "train_dis": true, "use_pretrained_gen": false, "use_pretrained_dis": false, "last_round_dis": false}
2022-01-06-12-12	2022-01-06-13-47	{"gen_hidden_lst": [50], "dis_hidden_lst": [50, 50, 50], "gen_lr": [0.01, 0.1, 0.01], "gen_epoch": [500, 1000, 5000, 10000], "gen_decay": 0.1, "gen_scheduler_step": 5000, "dis_lr": [0.01, 0.1, 0.01], "dis_epoch": [500, 2000, 10000, 20000], "dis_loss": [1, 1, 1, 1], "dis_decay": 0.1, "dis_scheduler_step": 10000, "total_rounds": 4, "visualize_obs": 0, "train_gen": true, "train_dis": true, "use_pretrained_gen": false, "use_pretrained_dis": false, "last_round_dis": false}
2022-01-06-13-47	2022-01-06-21-52	{"gen_hidden_lst": [50], "dis_hidden_lst": [50, 50, 50], "gen_lr": [0.01, 0.1, 0.01], "gen_epoch": [500, 1000, 5000, 10000], "gen_decay": 0.1, "gen_scheduler_step": 5000, "dis_lr": [0.01, 0.1, 0.01], "dis_epoch": [500, 2000, 10000, 20000], "dis_loss": [1, 1, 1, 1], "dis_decay": 0.1, "dis_scheduler_step": 10000, "total_rounds": 4, "visualize_obs": 0, "train_gen": true, "train_dis": true, "use_pretrained_gen": false, "use_pretrained_dis": false, "last_round_dis": false}
2022-01-06-21-52	2022-01-07-02-58	{"gen_hidden_lst": [50], "dis_hidden_lst": [50, 50, 50], "gen_lr": [0.01, 0.1, 0.01], "gen_epoch": [500, 1000, 5000, 10000], "gen_decay": 0.1, "gen_scheduler_step": 5000, "dis_lr": [0.01, 0.1, 0.01], "dis_epoch": [500, 2000, 10000, 20000], "dis_loss": [1, 1, 1, 1], "dis_decay": 0.1, "dis_scheduler_step": 10000, "total_rounds": 4, "visualize_obs": 0, "train_gen": true, "train_dis": true, "use_pretrained_gen": false, "use_pretrained_dis": false, "last_round_dis": false}
2022-01-07-02-58	2022-01-07-17-37	{"gen_hidden_lst": [50], "dis_hidden_lst": [50, 50, 50], "gen_lr": [0.01, 0.1, 0.01], "gen_epoch": [500, 1000, 5000, 10000], "gen_decay": 0.1, "gen_scheduler_step": 5000, "dis_lr": [0.01, 0.01, 0.1, 0.01], "dis_epoch": [10000, 500, 2000, 10000, 20000], "dis_loss": [1, 1, 1, 1], "dis_decay": 0.1, "dis_scheduler_step": 10000, "total_rounds": 1, "visualize_obs": 0, "train_gen": false, "train_dis": true, "use_pretrained_gen": true, "use_pretrained_dis": false, "last_round_dis": true}
2022-01-07-17-37	2022-01-07-23-42	{"gen_hidden_lst": [50], "dis_hidden_lst": [50, 50, 50], "gen_lr": [0.01, 0.1, 0.01], "gen_epoch": [500, 1000, 5000, 10000], "gen_decay": 0.1, "gen_scheduler_step": 5000, "dis_lr": [0.01, 0.01, 0.1, 0.01], "dis_epoch": [10000, 500, 2000, 10000, 20000], "dis_loss": [1, 1, 1, 1], "dis_decay": 0.1, "dis_scheduler_step": 10000, "total_rounds": 1, "visualize_obs": 0, "train_gen": false, "train_dis": true, "use_pretrained_gen": true, "use_pretrained_dis": true, "last_round_dis": true}
2022-01-07-23-42	2022-01-08-10-28	{"gen_hidden_lst": [50], "dis_hidden_lst": [50, 50, 50], "gen_lr": [0.01, 0.1, 0.01], "gen_epoch": [20000, 1000, 5000, 10000], "gen_decay": 0.1, "gen_scheduler_step": 50000, "dis_lr": [0.01, 0.01, 0.1, 0.01], "dis_epoch": [10000, 500, 2000, 10000, 20000], "dis_loss": [1, 1, 1, 1], "dis_decay": 0.1, "dis_scheduler_step": 10000, "total_rounds": 1, "visualize_obs": 0, "train_gen": true, "train_dis": false, "use_pretrained_gen": false, "use_pretrained_dis": true, "last_round_dis": false}
2022-01-08-10-28	2022-01-08-17-04	{"gen_hidden_lst": [50], "dis_hidden_lst": [50, 50, 50], "gen_lr": [0.01, 0.1, 0.01], "gen_epoch": [20000, 1000, 5000, 10000], "gen_decay": 0.1, "gen_scheduler_step": 50000, "dis_lr": [0.001, 0.01, 0.1, 0.01], "dis_epoch": [10000, 500, 2000, 10000, 20000], "dis_loss": [1, 1, 1, 1], "dis_decay": 0.1, "dis_scheduler_step": 20000, "total_rounds": 1, "visualize_obs": 0, "train_gen": false, "train_dis": true, "use_pretrained_gen": true, "use_pretrained_dis": true, "last_round_dis": true}
2022-01-08-17-04	2022-01-08-22-06	{"gen_hidden_lst": [50], "dis_hidden_lst": [50, 50, 50], "gen_lr": [0.01, 0.1, 0.01], "gen_epoch": [5000, 1000, 5000, 10000], "gen_decay": 0.1, "gen_scheduler_step": 50000, "dis_lr": [0.001, 0.01, 0.1, 0.01], "dis_epoch": [10000, 500, 2000, 10000, 20000], "dis_loss": [1, 1, 1, 1], "dis_decay": 0.1, "dis_scheduler_step": 20000, "total_rounds": 1, "visualize_obs": 0, "train_gen": true, "train_dis": false, "use_pretrained_gen": true, "use_pretrained_dis": true, "last_round_dis": false}
2022-01-08-17-04	2022-01-09-04-14	{"gen_hidden_lst": [50], "dis_hidden_lst": [50, 50, 50], "gen_lr": [0.01, 0.1, 0.01], "gen_epoch": [5000, 1000, 5000, 10000], "gen_decay": 0.1, "gen_scheduler_step": 50000, "dis_lr": [0.001, 0.0001, 0.01, 0.1, 0.01], "dis_epoch": [10000, 10000, 500, 2000, 10000, 20000], "dis_loss": [1, 1, 1, 1], "dis_decay": 0.1, "dis_scheduler_step": 20000, "total_rounds": 2, "visualize_obs": 0, "train_gen": false, "train_dis": true, "use_pretrained_gen": true, "use_pretrained_dis": true, "last_round_dis": true}
